dataset,method,upset_simple_mean,upset_simple_std,upset_naive_mean,upset_naive_std,upset_ratio_mean,upset_ratio_std,runtime_sec_mean,runtime_sec_std
Basketball_temporal/1985,OURS_MFAS,0.62,0.0,0.16,0.0,0.56,0.0,0.68,0.0
Basketball_temporal/1985,OURS_MFAS_INS1,0.62,0.0,0.16,0.0,0.56,0.0,0.68,0.0
Basketball_temporal/1985,OURS_MFAS_INS2,0.62,0.0,0.16,0.0,0.56,0.0,0.68,0.0
Basketball_temporal/1985,OURS_MFAS_INS3,0.62,0.0,0.16,0.0,0.56,0.0,0.68,0.0
Basketball_temporal/1985,PageRank,1.92,0.0,0.48,0.0,1.32,0.0,0.01,0.0
Basketball_temporal/1985,SVD_NRS,0.62,0.0,0.16,0.0,0.56,0.0,0.67,0.0
Basketball_temporal/1985,SVD_RS,0.86,0.0,0.22,0.0,0.63,0.0,0.01,0.0
Basketball_temporal/1985,SpringRank,1.62,0.0,0.4,0.0,0.86,0.0,0.32,0.0
Basketball_temporal/1985,btl,0.75,0.0,0.19,0.0,0.62,0.0,0.0,0.0
Basketball_temporal/1985,davidScore,0.89,0.0,0.22,0.0,0.67,0.17,0.01,0.0
Basketball_temporal/1985,eigenvectorCentrality,0.91,0.0,0.23,0.0,0.55,0.0,0.0,0.0
Basketball_temporal/1985,rankCentrality,1.0,0.0,0.25,0.0,0.67,0.0,0.0,0.0
Basketball_temporal/1985,serialRank,0.93,0.08,0.23,0.02,0.54,0.04,0.63,1.81
Basketball_temporal/1985,syncRank,2.11,0.0,0.53,0.0,0.86,0.0,0.01,0.0
Basketball_temporal/1986,OURS_MFAS,0.62,0.0,0.15,0.0,0.56,0.0,0.71,0.0
Basketball_temporal/1986,OURS_MFAS_INS1,0.62,0.0,0.15,0.0,0.56,0.0,0.71,0.0
Basketball_temporal/1986,OURS_MFAS_INS2,0.62,0.0,0.15,0.0,0.56,0.0,0.71,0.0
Basketball_temporal/1986,OURS_MFAS_INS3,0.62,0.0,0.15,0.0,0.56,0.0,0.71,0.0
Basketball_temporal/1986,PageRank,1.96,0.0,0.49,0.0,1.31,0.0,0.01,0.0
Basketball_temporal/1986,SVD_NRS,0.62,0.0,0.15,0.0,0.56,0.0,0.71,0.0
Basketball_temporal/1986,SVD_RS,0.86,0.0,0.21,0.0,0.63,0.0,0.01,0.0
Basketball_temporal/1986,SpringRank,1.79,0.0,0.45,0.0,0.85,0.0,0.32,0.0
Basketball_temporal/1986,btl,0.78,0.0,0.19,0.0,0.61,0.0,0.0,0.0
Basketball_temporal/1986,davidScore,0.89,0.0,0.22,0.0,0.73,0.16,0.01,0.0
Basketball_temporal/1986,eigenvectorCentrality,0.88,0.0,0.22,0.0,0.54,0.0,0.0,0.0
Basketball_temporal/1986,rankCentrality,1.09,0.0,0.27,0.0,0.75,0.0,0.0,0.0
Basketball_temporal/1986,serialRank,0.96,0.02,0.24,0.01,0.54,0.01,0.03,0.0
Basketball_temporal/1986,syncRank,1.99,0.0,0.5,0.0,0.86,0.0,0.01,0.0
Basketball_temporal/1987,OURS_MFAS,0.66,0.0,0.16,0.0,0.58,0.0,0.74,0.0
Basketball_temporal/1987,OURS_MFAS_INS1,0.66,0.0,0.16,0.0,0.58,0.0,0.74,0.0
Basketball_temporal/1987,OURS_MFAS_INS2,0.66,0.0,0.16,0.0,0.58,0.0,0.74,0.0
Basketball_temporal/1987,OURS_MFAS_INS3,0.66,0.0,0.16,0.0,0.58,0.0,0.74,0.0
