kind,comparison,win,tie,loss,total
animal_static,OURS_vs_best_non_ours,0,0,1,1
animal_static,OURS_vs_best_gnn,0,0,1,1
animal_static,best_non_ours_vs_best_gnn,1,0,0,1
basketball_temporal,OURS_vs_best_non_ours,2,28,30,60
basketball_temporal,OURS_vs_best_gnn,30,0,30,60
basketball_temporal,best_non_ours_vs_best_gnn,31,0,29,60
faculty_business,OURS_vs_best_non_ours,0,1,0,1
faculty_business,OURS_vs_best_gnn,0,0,1,1
faculty_business,best_non_ours_vs_best_gnn,0,0,1,1
faculty_cs,OURS_vs_best_non_ours,0,1,0,1
faculty_cs,OURS_vs_best_gnn,1,0,0,1
faculty_cs,best_non_ours_vs_best_gnn,1,0,0,1
faculty_history,OURS_vs_best_non_ours,0,1,0,1
faculty_history,OURS_vs_best_gnn,1,0,0,1
faculty_history,best_non_ours_vs_best_gnn,1,0,0,1
finance_static,OURS_vs_best_non_ours,0,0,0,0
finance_static,OURS_vs_best_gnn,0,0,0,0
finance_static,best_non_ours_vs_best_gnn,0,0,1,1
football_temporal,OURS_vs_best_non_ours,1,5,6,12
football_temporal,OURS_vs_best_gnn,2,0,10,12
football_temporal,best_non_ours_vs_best_gnn,4,0,8,12
headtohead_static,OURS_vs_best_non_ours,0,1,0,1
headtohead_static,OURS_vs_best_gnn,1,0,0,1
headtohead_static,best_non_ours_vs_best_gnn,1,0,0,1
