dataset,method,upset_simple_mean,upset_simple_std,upset_ratio_mean,upset_ratio_std,upset_naive_mean,upset_naive_std,runtime_sec_mean,runtime_sec_std
Dryad_animal_society,SpringRank,1.52,0.08,0.81,0.02,0.38,0.02,0.02,0.02
Dryad_animal_society,syncRank,2.06,0.35,0.88,0.00,0.56,0.09,0.00,0.00
Dryad_animal_society,serialRank,0.45,0.00,0.22,0.00,0.11,0.00,0.91,0.01
Dryad_animal_society,btl,0.33,0.00,0.41,0.00,0.08,0.00,0.00,0.00
Dryad_animal_society,davidScore,0.55,0.00,0.54,0.17,0.14,0.00,0.00,0.00
Dryad_animal_society,eigenvectorCentrality,0.65,0.00,0.44,0.00,0.16,0.00,0.00,0.00
Dryad_animal_society,PageRank,1.96,0.00,1.34,0.00,0.49,0.00,0.00,0.00
Dryad_animal_society,rankCentrality,1.03,0.00,0.62,0.00,0.26,0.00,0.01,0.02
Dryad_animal_society,SVD_RS,0.53,0.00,0.42,0.00,0.13,0.00,0.00,0.00
Dryad_animal_society,SVD_NRS,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Dryad_animal_society,OURS_MFAS_INS1,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Dryad_animal_society,OURS_MFAS_INS2,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Dryad_animal_society,OURS_MFAS_INS3,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Dryad_animal_society,OURS_MFAS,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Halo2BetaData/HeadToHead,SpringRank,1.94,0.00,0.97,0.00,0.48,0.00,0.97,0.00
Halo2BetaData/HeadToHead,syncRank,1.92,0.06,0.97,0.00,0.54,0.02,0.06,0.00
Halo2BetaData/HeadToHead,serialRank,1.12,0.01,0.71,0.01,0.28,0.00,0.06,0.01
Halo2BetaData/HeadToHead,btl,1.16,0.00,0.89,0.00,0.29,0.00,0.01,0.00
Halo2BetaData/HeadToHead,davidScore,1.47,0.00,1.00,0.05,0.37,0.00,0.01,0.00
Halo2BetaData/HeadToHead,eigenvectorCentrality,1.36,0.00,0.83,0.00,0.34,0.00,0.01,0.00
Halo2BetaData/HeadToHead,PageRank,2.00,0.02,1.20,0.12,0.50,0.00,0.06,0.00
Halo2BetaData/HeadToHead,rankCentrality,1.79,0.00,1.14,0.00,0.45,0.00,0.00,0.00
Halo2BetaData/HeadToHead,SVD_RS,1.43,0.02,0.96,0.02,0.36,0.00,0.01,0.00
Halo2BetaData/HeadToHead,SVD_NRS,0.88,0.00,0.76,0.00,0.22,0.00,1.07,0.00
Halo2BetaData/HeadToHead,OURS_MFAS_INS1,0.88,0.00,0.76,0.00,0.22,0.00,1.08,0.00
Halo2BetaData/HeadToHead,OURS_MFAS_INS2,0.88,0.00,0.76,0.00,0.22,0.00,1.08,0.00
Halo2BetaData/HeadToHead,OURS_MFAS_INS3,0.88,0.00,0.76,0.00,0.22,0.00,1.08,0.00
Halo2BetaData/HeadToHead,OURS_MFAS,0.88,0.00,0.76,0.00,0.22,0.00,1.08,0.00
finance,SpringRank,1.63,0.00,0.26,0.00,0.41,0.00,0.73,0.16
finance,syncRank,1.61,0.00,0.27,0.00,0.40,0.00,3.75,0.02
finance,serialRank,1.78,0.01,0.28,0.00,0.45,0.00,0.25,0.00
finance,btl,1.63,0.00,0.64,0.00,0.41,0.00,0.21,0.00
finance,davidScore,1.74,0.00,0.27,0.00,0.44,0.00,0.07,0.00
finance,eigenvectorCentrality,1.75,0.00,0.26,0.00,0.44,0.00,0.01,0.00
finance,PageRank,1.88,0.00,0.59,0.00,0.47,0.00,0.40,0.01
finance,rankCentrality,1.64,0.00,0.26,0.00,0.41,0.00,0.20,0.01
finance,SVD_RS,1.64,0.00,0.26,0.00,0.41,0.00,0.23,0.01
finance,SVD_NRS,1.64,0.00,0.26,0.00,0.41,0.00,0.23,0.01
FacultyHiringNetworks/Business/Business_FM_Full_,SpringRank,0.84,0.03,0.98,0.00,0.21,0.01,0.10,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,syncRank,1.19,0.00,0.99,0.00,0.30,0.00,0.00,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,serialRank,0.41,0.01,0.34,0.00,0.10,0.00,0.02,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,btl,0.49,0.00,0.52,0.00,0.12,0.00,0.00,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,davidScore,0.49,0.00,0.79,0.21,0.12,0.00,0.00,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,eigenvectorCentrality,0.49,0.00,0.44,0.00,0.12,0.00,0.00,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,PageRank,2.01,0.02,1.43,0.12,0.50,0.01,0.00,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,rankCentrality,0.68,0.00,0.64,0.00,0.17,0.00,0.00,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,SVD_RS,0.46,0.00,0.62,0.00,0.12,0.00,0.00,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,SVD_NRS,0.36,0.00,0.50,0.00,0.09,0.00,0.11,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,OURS_MFAS_INS1,0.36,0.00,0.51,0.00,0.09,0.00,0.11,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,OURS_MFAS_INS2,0.36,0.00,0.51,0.00,0.09,0.00,0.11,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,OURS_MFAS_INS3,0.36,0.00,0.51,0.00,0.09,0.00,0.11,0.00
FacultyHiringNetworks/Business/Business_FM_Full_,OURS_MFAS,0.36,0.00,0.51,0.00,0.09,0.00,0.11,0.00
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,SpringRank,1.04,0.00,0.99,0.00,0.26,0.00,0.18,0.00
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,syncRank,1.93,0.15,1.00,0.00,0.56,0.04,0.01,0.00
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,serialRank,0.34,0.01,0.28,0.00,0.08,0.00,0.08,0.01
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,btl,0.61,0.00,0.51,0.00,0.15,0.00,0.00,0.00
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,davidScore,0.51,0.00,0.77,0.19,0.13,0.00,0.00,0.00
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,eigenvectorCentrality,0.45,0.00,0.40,0.00,0.11,0.00,0.00,0.00
