dataset,family,n,m,density,phase_mode,addback_mode,upset_simple,upset_ratio,upset_naive,runtime_sec,time_phase1_sec,time_phase2_sec,time_phaseC_sec,removed_phaseA,kept_after_phaseA,kept_final,edges_restored,reinserted_per_pass,break_reason,reach_checked,reach_inserted,reach_rejected_reachable,reach_dense_matrix_used,permutation_changed_vs_A_only,status,note
Basketball_temporal/1985,Basketball_coarse,282,2904,0.03664723252820474,A0,none,0.11737831230089152,0.4571488428519246,4753.0,0.08722710609436035,0.07940340042114258,1.9073486328125e-06,0.007809162139892578,1074,1830,1830,0,0,,,,,,False,ok,
Basketball_temporal/1985,Basketball_coarse,282,2904,0.03664723252820474,A1_topo,topo,0.11678561726718198,0.45803902578377964,4729.0,0.0916595458984375,0.07932472229003906,0.004359245300292969,0.007963418960571289,1074,1830,2142,312,305|7|0,,,,,,True,ok,
Basketball_temporal/1985,Basketball_coarse,282,2904,0.03664723252820474,A2_topo,topo,0.11678561726718198,0.45106086472266094,4729.0,0.17200732231140137,0.07891440391540527,0.0043408870697021484,0.08873844146728516,1074,1830,2142,312,305|7|0,,,,,,True,ok,
Basketball_temporal/1985,Basketball_coarse,282,2904,0.03664723252820474,B1_reach,reach,0.09954807003679648,0.46287807766192984,4031.0,0.12286186218261719,0.07936763763427734,0.0389094352722168,0.00457310676574707,1074,1830,2214,384,384,,1074,384,690,True,True,ok,
Basketball_temporal/1985,Basketball_coarse,282,2904,0.03664723252820474,B2_reach,reach,0.09954807003679648,0.4537179485826296,4031.0,0.20153212547302246,0.07912349700927734,0.0385739803314209,0.08382034301757812,1074,1830,2214,384,384,,1074,384,690,True,True,ok,
Basketball_temporal/1986,Basketball_coarse,283,2937,0.03680174422975716,A0,none,0.1131450735537581,0.4916616032575592,4784.0,0.0968930721282959,0.08897519111633301,1.430511474609375e-06,0.007904767990112305,1081,1856,1856,0,0,,,,,,False,ok,
Basketball_temporal/1986,Basketball_coarse,283,2937,0.03680174422975716,A1_topo,topo,0.11319237500591268,0.49495302333279,4786.0,0.10162210464477539,0.0890507698059082,0.004402875900268555,0.008156061172485352,1081,1856,2199,343,338|5|0,,,,,,True,ok,
Basketball_temporal/1986,Basketball_coarse,283,2937,0.03680174422975716,A2_topo,topo,0.11319237500591268,0.4883388167976942,4786.0,0.1804962158203125,0.08904218673706055,0.00445556640625,0.08698320388793945,1081,1856,2199,343,338|5|0,,,,,,True,ok,
Basketball_temporal/1986,Basketball_coarse,283,2937,0.03680174422975716,B1_reach,reach,0.09907289153777021,0.49779485835405946,4189.0,0.13701367378234863,0.08907794952392578,0.04333996772766113,0.004584550857543945,1081,1856,2253,397,397,,1081,397,684,True,True,ok,
Basketball_temporal/1986,Basketball_coarse,283,2937,0.03680174422975716,B2_reach,reach,0.09907289153777021,0.4905395533266876,4189.0,0.21682357788085938,0.08925819396972656,0.043259620666503906,0.08428740501403809,1081,1856,2253,397,397,,1081,397,684,True,True,ok,
Basketball_temporal/1987,Basketball_coarse,290,3045,0.03633217993079585,A0,none,0.11993339567984307,0.49421911976604843,5258.0,0.10007929801940918,0.09186244010925293,1.6689300537109375e-06,0.008203268051147461,1107,1938,1938,0,0,,,,,,False,ok,
Basketball_temporal/1987,Basketball_coarse,290,3045,0.03633217993079585,A1_topo,topo,0.11947720170616546,0.49224864617983694,5238.0,0.10471940040588379,0.09182596206665039,0.004561662673950195,0.008320331573486328,1107,1938,2261,323,314|9|0,,,,,,True,ok,
Basketball_temporal/1987,Basketball_coarse,290,3045,0.03633217993079585,A2_topo,topo,0.11947720170616546,0.4853018335017127,5238.0,0.18769192695617676,0.09193921089172363,0.004589080810546875,0.09114980697631836,1107,1938,2261,323,314|9|0,,,,,,True,ok,
Basketball_temporal/1987,Basketball_coarse,290,3045,0.03633217993079585,B1_reach,reach,0.10161720763668712,0.5003388985090635,4455.0,0.14732575416564941,0.09279012680053711,0.04605293273925781,0.008470773696899414,1107,1938,2318,380,380,,1107,380,727,True,True,ok,
Basketball_temporal/1987,Basketball_coarse,290,3045,0.03633217993079585,B2_reach,reach,0.10161720763668712,0.4933408696631285,4455.0,0.23025989532470703,0.09173464775085449,0.0460362434387207,0.09247159957885742,1107,1938,2318,380,380,,1107,380,727,True,True,ok,
Basketball_temporal/1988,Basketball_coarse,290,3099,0.03697649445173607,A0,none,0.12096182469969183,0.49309260143790984,5770.0,0.08850479125976562,0.0801706314086914,2.384185791015625e-06,0.008318424224853516,1155,1944,1944,0,0,,,,,,False,ok,
Basketball_temporal/1988,Basketball_coarse,290,3099,0.03697649445173607,A1_topo,topo,0.12062640196222302,0.4867436414777157,5754.0,0.09302091598510742,0.0799250602722168,0.0046236515045166016,0.008460283279418945,1155,1944,2296,352,344|7|1,,,,,,True,ok,
Basketball_temporal/1988,Basketball_coarse,290,3099,0.03697649445173607,A2_topo,topo,0.12062640196222302,0.4799318978289564,5754.0,0.17657971382141113,0.08000040054321289,0.004658937454223633,0.09190702438354492,1155,1944,2296,352,344|7|1,,,,,,True,ok,
Basketball_temporal/1988,Basketball_coarse,290,3099,0.03697649445173607,B1_reach,reach,0.1018217647428775,0.47731721189228,4857.0,0.13362812995910645,0.07981300354003906,0.04892110824584961,0.004881858825683594,1155,1944,2369,425,425,,1155,425,730,True,True,ok,
Basketball_temporal/1988,Basketball_coarse,290,3099,0.03697649445173607,B2_reach,reach,0.1018217647428775,0.46823382169098277,4857.0,0.21435880661010742,0.0798037052154541,0.049056291580200195,0.08548378944396973,1155,1944,2369,425,425,,1155,425,730,True,True,ok,
Basketball_temporal/1989,Basketball_coarse,293,3162,0.03695824956753471,A0,none,0.11761713902056926,0.49478853791806277,5781.0,0.11291790008544922,0.10444879531860352,1.430511474609375e-06,0.008455991744995117,1119,2043,2043,0,0,,,,,,False,ok,
Basketball_temporal/1989,Basketball_coarse,293,3162,0.03695824956753471,A1_topo,topo,0.11637606559378243,0.4954774458954798,5720.0,0.11837458610534668,0.10489082336425781,0.0048580169677734375,0.00861215591430664,1119,2043,2364,321,313|7|1,,,,,,True,ok,
Basketball_temporal/1989,Basketball_coarse,293,3162,0.03695824956753471,A2_topo,topo,0.11637606559378243,0.4867937067776135,5720.0,0.20200490951538086,0.10447168350219727,0.004783153533935547,0.09273600578308105,1119,2043,2364,321,313|7|1,,,,,,True,ok,
