dataset,ours_upset_simple,ours_upset_ratio,ours_upset_naive,ours_runtime_sec,best_classical_upset_simple,best_classical_upset_ratio,best_classical_upset_naive,best_classical_runtime_sec,best_gnn_upset_simple,best_gnn_upset_ratio,best_gnn_upset_naive,best_gnn_runtime_sec
Basketball_temporal/1985,0.6227444410324097,0.5563536882400513,0.1556861102581024,0.6797855615615844,0.7519932985305786,0.6247237920761108,0.1879983246326446,0.0025603055953979,1.038355008363724,0.7589024394750595,0.2595887520909309,8.815457463264465
Basketball_temporal/1986,0.6156405806541443,0.5580135583877563,0.153910145163536,0.712147331237793,0.7770382761955261,0.6881914734840393,0.1942595690488815,0.0568585634231567,0.9359151315689088,0.7390109610557556,0.2339850226044655,8.833134818077088
Basketball_temporal/1987,0.657926082611084,0.5757734775543213,0.164481520652771,0.7425997734069825,0.8216130137443542,0.7095123529434204,0.2054032534360885,0.0571249485015869,1.0242987728118895,0.7598590052127838,0.2560746932029724,8.960313272476196
Basketball_temporal/1988,0.6258823275566101,0.5681865811347961,0.1564705818891525,0.7484074831008911,0.7435294389724731,0.6507934331893921,0.1858823597431183,0.0634405374526977,0.9275058817863464,0.761509724855423,0.2318823528289794,8.956792640686036
Basketball_temporal/1989,0.6300643682479858,0.5666317939758301,0.1575160920619964,0.8110986709594726,0.7482014298439026,0.7104161977767944,0.1870503574609756,0.057374882698059,0.9454600536823272,0.7615620195865631,0.2363650134205818,9.118800067901612
Basketball_temporal/1990,0.6003780961036682,0.5570091009140015,0.150094524025917,0.8023430824279785,0.7500945329666138,0.6739517450332642,0.1875236332416534,0.0574763059616088,0.863395084142685,0.7572431790828705,0.2158487710356712,15.99616174697876
Basketball_temporal/1991,0.63791823387146,0.5594651103019714,0.159479558467865,0.8732541799545288,0.7657992839813232,0.6422716975212097,0.1914498209953308,0.0026991367340087,0.9129219388961792,0.7535596698522568,0.2282304847240448,9.204916501045227
Basketball_temporal/1992,0.6264346241950989,0.5518926382064819,0.1566086560487747,0.8591492891311645,0.7197334170341492,0.5937338471412659,0.1799333542585373,0.0027718305587768,0.8977415788173676,0.7417025828361511,0.2244353947043419,9.180338668823245
Basketball_temporal/1993,0.6202036142349243,0.566332995891571,0.155050903558731,0.7686809062957763,0.7423649430274963,0.5986699461936951,0.185591235756874,0.0026945352554321,0.9493500447273254,0.7510255700349808,0.2373375111818313,9.197834587097168
Basketball_temporal/1994,0.6102997660636902,0.5573071837425232,0.1525749415159225,0.8043434381484985,0.7378939390182495,0.5863926410675049,0.1844734847545623,0.0027323961257934,0.8861644876003265,0.7321634334325791,0.2215526509284973,9.291334009170532
Basketball_temporal/1995,0.6439909338951111,0.5652342438697815,0.1609977334737777,0.8296581983566285,0.7694633603096008,0.666222333908081,0.1923658400774002,0.0573991298675537,0.8902796685695649,0.7408524096012116,0.2225699171423912,9.300449776649476
Basketball_temporal/1996,0.692844033241272,0.5793476104736328,0.173211008310318,0.8600821495056152,0.8102752566337585,0.647814154624939,0.2025688141584396,0.0027841329574584,1.0220403671264648,0.7666598212718964,0.2555155962705612,9.35993869304657
Basketball_temporal/1997,0.6657142639160156,0.5817639827728271,0.1664285659790039,0.9400389194488524,0.8142856955528259,0.7111914753913879,0.2035714238882064,0.0576370954513549,0.9816000056266784,0.7569222164154052,0.2454000014066696,9.346541547775267
Basketball_temporal/1998,0.6359773278236389,0.5913578867912292,0.1589943319559097,0.865365743637085,0.7733711004257202,0.6962529420852661,0.19334277510643,0.0585224151611328,0.9292068004608154,0.7662400567531585,0.2323017001152038,9.399020504951476
Basketball_temporal/1999,0.7000696063041687,0.598717212677002,0.1750174015760421,0.8985944509506225,0.8072373270988464,0.6541757583618164,0.2018093317747116,0.0028937339782714,0.9191370952129364,0.7691307657957077,0.2297842738032341,16.474664855003358
Basketball_temporal/2000,0.6638129949569702,0.6019979119300842,0.1659532487392425,0.9361914873123168,0.844254195690155,0.6997182965278625,0.2110635489225387,0.0577153921127319,1.0005136692523957,0.7825327062606812,0.2501284173130989,9.716361212730408
Basketball_temporal/2001,0.6191612482070923,0.5884734988212585,0.154790312051773,0.8968456506729126,0.7541766166687012,0.6989525556564331,0.1885441541671753,0.0577985525131225,0.9461984312534332,0.7702218931913376,0.2365496078133583,9.689606165885923
Basketball_temporal/2002,0.6706666946411133,0.6043559312820435,0.1676666736602783,0.9438140153884887,0.7960000038146973,0.7045820355415344,0.1990000009536743,0.0578081846237182,0.9427266633510588,0.7749796915054321,0.2356866660714149,9.85564637184143
Basketball_temporal/2003,0.6901500225067139,0.6057354807853699,0.1725375056266784,0.9539105415344238,0.8049576282501221,0.6828464269638062,0.2012394070625305,0.0029872179031372,1.016594915390015,0.7894176244735718,0.2541487288475036,10.016838788986206
Basketball_temporal/2004,0.6094986796379089,0.5828815698623657,0.1523746699094772,0.9339655637741088,0.7453826069831848,0.6380614638328552,0.1863456517457962,0.0029772996902465,0.898212399482727,0.7813582706451416,0.2245580470561981,16.927690196037293
Basketball_temporal/2005,0.659649133682251,0.5976330637931824,0.1649122834205627,1.0161285638809203,0.7783094048500061,0.730249285697937,0.1945773512125015,0.0577080249786376,0.9254481709003448,0.7890884065628052,0.2313620427250862,9.94582712650299
Basketball_temporal/2006,0.6757934093475342,0.6035505533218384,0.1689483523368835,1.0372151851654052,0.7741132378578186,0.6546952128410339,0.1935283094644546,0.0030763626098632,0.9856689548492432,0.784086799621582,0.2464219057559967,10.14358594417572
Basketball_temporal/2007,0.6655112504959106,0.6116501092910767,0.1663778126239776,1.1336604118347169,0.7891392111778259,0.7214123010635376,0.1972848027944564,0.0596447706222534,1.0002830743789672,0.7846332204341888,0.2500751015543938,10.054690289497376
Basketball_temporal/2008,0.6888013482093811,0.6101373434066772,0.1722003370523452,1.1633963346481324,0.8002250790596008,0.6485704779624939,0.2000562697649002,0.0031940698623657,1.0506471621990203,0.7940193152427674,0.2626617905497551,10.471385836601256
Basketball_temporal/2009,0.6457697749137878,0.5898038744926453,0.1614424437284469,1.254702615737915,0.7633841633796692,0.6498886346817017,0.1908460408449173,0.0033057689666748,0.8331983304023742,0.7902265155315399,0.2082995826005935,17.233449077606203
Basketball_temporal/2010,0.6507806181907654,0.6041992902755737,0.1626951545476913,1.1781224250793456,0.7745823264122009,0.6572272777557373,0.1936455816030502,0.0032492876052856,0.9738263487815856,0.8041880196332931,0.2434565871953964,17.9334645986557
Basketball_temporal/2011,0.6759156584739685,0.6055998802185059,0.1689789146184921,1.1428889751434326,0.7857935428619385,0.6599955558776855,0.1964483857154846,0.003213095664978,0.8848168730735779,0.7777644157409668,0.2212042182683944,10.56768946647644
Basketball_temporal/2012,0.6275805234909058,0.5910798907279968,0.1568951308727264,1.1471171379089355,0.7563996911048889,0.7326815128326416,0.1890999227762222,0.0603796958923339,0.9642719483375548,0.7882544875144959,0.2410679870843887,10.657285046577451
Basketball_temporal/2013,0.658823549747467,0.6142719984054565,0.1647058874368667,1.1818676233291625,0.7978112101554871,0.6706725358963013,0.1994528025388717,0.003235387802124,1.0925362491607666,0.9140631937980652,0.7544350224733353,65.01363277435303
Basketball_temporal/2014,0.6780952215194702,0.6072635650634766,0.1695238053798675,1.2229959964752195,0.7945578098297119,0.6639624238014221,0.1986394524574279,0.0032459259033203,0.9488544201850893,0.7928258192539215,0.2372136050462722,10.864889883995057
Basketball_temporal/finer1985,1.254507303237915,0.1377915292978286,0.3136268258094787,2.80704116821289,0.7563941478729248,0.0050525367259979,0.1890985369682312,0.0574210405349731,0.9418616330623628,0.0058755153324455,0.2354716977477073,16.063831663131715
Basketball_temporal/finer1986,1.0919684171676636,0.1295891255140304,0.2729921042919159,2.8638818740844725,0.7707033157348633,0.0058212811127305,0.1926758289337158,0.06362726688385,1.0555472350120545,0.0066205509845167,0.2638868087530136,16.544265246391298
