section,metric,value
A,vs_classical_upset_simple_W_1e6,38.0
A,vs_classical_upset_simple_T_1e6,0.0
A,vs_classical_upset_simple_L_1e6,39.0
A,vs_classical_upset_simple_W_1e3,38.0
A,vs_classical_upset_simple_T_1e3,0.0
A,vs_classical_upset_simple_L_1e3,39.0
A,gap_simple_vs_cl_median,-0.024390220642089844
A,gap_simple_vs_cl_mean,-0.10320378321331815
A,gap_simple_vs_cl_P25,-0.37727874517440796
A,gap_simple_vs_cl_P75,0.1230769157409668
A,gap_simple_vs_cl_P90,0.1380313277244568
A,gap_simple_vs_cl_max,0.18044120073318481
A,rel_gap_simple_vs_cl_median,-0.03030302820947875
A,rel_gap_simple_vs_cl_mean,-0.12500099776522516
A,rel_gap_simple_vs_cl_P25,-0.46365909674684597
A,rel_gap_simple_vs_cl_P75,0.15789472845643146
A,rel_gap_simple_vs_cl_P90,0.1803344884944051
A,rel_gap_simple_vs_cl_max,0.2820512694156651
A,vs_classical_within_1pct,0.0
A,vs_classical_within_5pct,7.0
A,vs_classical_within_10pct,12.0
A,vs_classical_ours_better,38.0
A,vs_classical_upset_ratio_W_1e6,45.0
A,vs_classical_upset_ratio_T_1e6,0.0
A,vs_classical_upset_ratio_L_1e6,32.0
A,vs_classical_upset_ratio_W_1e3,45.0
A,vs_classical_upset_ratio_T_1e3,0.0
A,vs_classical_upset_ratio_L_1e3,32.0
A,gap_ratio_vs_cl_median,0.03843313455581665
A,gap_ratio_vs_cl_mean,0.001347485479789893
A,gap_ratio_vs_cl_P25,-0.13073822716251018
A,gap_ratio_vs_cl_P75,0.09772038459777832
A,gap_ratio_vs_cl_P90,0.13306528329849243
A,gap_ratio_vs_cl_max,0.37276457250118256
A,rel_gap_ratio_vs_cl_median,0.07811980065846907
A,rel_gap_ratio_vs_cl_mean,-7.1472457104807905
A,rel_gap_ratio_vs_cl_P25,-18.106267880033045
A,rel_gap_ratio_vs_cl_P75,0.13965675198531433
A,rel_gap_ratio_vs_cl_P90,0.1887602223988831
A,rel_gap_ratio_vs_cl_max,0.7289508854187368
A,vs_classical_ratio_within_1pct,0.0
A,vs_classical_ratio_within_5pct,10.0
A,vs_classical_ratio_within_10pct,28.0
A,vs_classical_ratio_ours_better,45.0
B,vs_gnn_upset_simple_W_1e6,46.0
B,vs_gnn_upset_simple_T_1e6,0.0
B,vs_gnn_upset_simple_L_1e6,31.0
B,vs_gnn_upset_simple_W_1e3,46.0
B,vs_gnn_upset_simple_T_1e3,0.0
B,vs_gnn_upset_simple_L_1e3,31.0
B,gap_simple_vs_gnn_median,0.18222222924232478
B,gap_simple_vs_gnn_mean,0.09255592050490442
B,gap_simple_vs_gnn_P25,-0.15098257064819331
B,gap_simple_vs_gnn_P75,0.3016235542297363
B,gap_simple_vs_gnn_P90,0.3314265298843384
B,gap_simple_vs_gnn_max,0.4337126994132996
B,rel_gap_simple_vs_gnn_median,0.17012448571494726
B,rel_gap_simple_vs_gnn_mean,0.10533889928973168
B,rel_gap_simple_vs_gnn_P25,-0.14461770771309831
B,rel_gap_simple_vs_gnn_P75,0.3211160000323836
B,rel_gap_simple_vs_gnn_P90,0.3460625133826855
B,rel_gap_simple_vs_gnn_max,0.5408958107932931
B,vs_gnn_within_1pct,0.0
B,vs_gnn_within_5pct,1.0
B,vs_gnn_within_10pct,4.0
B,vs_gnn_ours_better,46.0
B,vs_gnn_upset_ratio_W_1e6,47.0
B,vs_gnn_upset_ratio_T_1e6,0.0
B,vs_gnn_upset_ratio_L_1e6,30.0
B,vs_gnn_upset_ratio_W_1e3,47.0
B,vs_gnn_upset_ratio_T_1e3,0.0
B,vs_gnn_upset_ratio_L_1e3,30.0
B,gap_ratio_vs_gnn_median,0.17062376022338865
B,gap_ratio_vs_gnn_mean,0.0624934100458858
B,gap_ratio_vs_gnn_P25,-0.13039436668157578
B,gap_ratio_vs_gnn_P75,0.19145534276962284
B,gap_ratio_vs_gnn_P90,0.2264156417846679
B,gap_ratio_vs_gnn_max,0.2997911953926087
B,rel_gap_ratio_vs_gnn_median,0.22821061134387663
B,rel_gap_ratio_vs_gnn_mean,-6.610481826855221
B,rel_gap_ratio_vs_gnn_P25,-15.93704858291738
B,rel_gap_ratio_vs_gnn_P75,0.2536268235748605
B,rel_gap_ratio_vs_gnn_P90,0.2973090291436517
B,rel_gap_ratio_vs_gnn_max,0.41535573060749825
B,vs_gnn_ratio_within_1pct,0.0
B,vs_gnn_ratio_within_5pct,0.0
B,vs_gnn_ratio_within_10pct,4.0
B,vs_gnn_ratio_ours_better,47.0
D,runtime_count,77.0
D,speedup_P25,4.8015002029213285
D,speedup_median,10.32040604721141
D,speedup_P75,18.37870483500239
D,speedup_mean,69.62289026239881
D,speedup_ge10x,39.0
D,speedup_ge50x,18.0
D,speedup_ge100x,14.0
D,Pareto_better_faster,46.0
D,Pareto_better_slower,0.0
D,Pareto_worse_faster,31.0
D,Pareto_worse_slower,0.0
