baseline,metric,n_common,ours_wins,ties,ours_loses,mean_delta,median_delta,wilcoxon_p,bootstrap_median_CI_lo,bootstrap_median_CI_hi,median_ours,median_baseline,holm_p
SpringRank,upset_simple,77,64,0,13,-0.13375163000903648,-0.15686273574877285,1.1116423221168651e-10,-0.23148912191388893,-0.07272726297392895,0.670828104019,0.8010944128036499,1.1116423221168651e-10
davidScore,upset_simple,77,75,0,2,-0.15774216473880825,-0.18019026517905418,5.916751060873087e-13,-0.22891229391093848,-0.08795934915497583,0.670828104019,0.8214420676231384,2.366700424349235e-12
SVD_NRS,upset_simple,77,76,0,1,-0.21348920263257418,-0.16463416814851833,1.4104417047027194e-13,-0.31345355510733397,-0.12235599756278082,0.670828104019,0.8909348249435425,8.462650228216316e-13
btl,upset_simple,77,76,0,1,-0.4173571979458099,-0.42194497585314195,2.4024541479165884e-13,-0.5010304093360478,-0.3897674560545362,0.670828104019,0.9834705293178558,1.2012270739582941e-12
PageRank,upset_simple,77,76,0,1,-0.3435917976615133,-0.3492743968959964,7.929019084836641e-14,-0.36433511972424293,-0.33712989091910406,0.670828104019,1.0666667222976685,5.550313359385649e-13
syncRank,upset_simple,77,77,0,0,-1.0130665765180633,-1.0079430341721407,2.4628307660238145e-14,-1.1306421756746143,-0.9396849870686436,0.670828104019,1.7164626121520996,2.462830766023814e-13
serialRank,upset_simple,77,77,0,0,-1.1688908739523873,-1.2471169233318047,2.4628307660238145e-14,-1.34766662120798,-1.164229917526191,0.670828104019,1.9566960334777832,2.462830766023814e-13
rankCentrality,upset_simple,77,77,0,0,-1.2677562314194935,-1.2539394140240663,2.4628307660238145e-14,-1.3413078188896144,-1.1917018890385527,0.670828104019,1.9440242052078247,2.462830766023814e-13
DIGRAC,upset_simple,60,60,0,0,-0.36676285970210565,-0.3157081139087865,1.6295557943119345e-11,-0.4355918544532134,-0.2504526174069447,0.629026889801,1.0310180759429932,4.8886673829358034e-11
ib,upset_simple,60,60,0,0,-0.5733861614863031,-0.6195488512515694,1.6295557943119345e-11,-0.6504140688183687,-0.5388977032899049,0.629026889801,1.2223189210891725,4.8886673829358034e-11
SpringRank,upset_naive,77,46,0,31,-0.007747766694845441,-0.02870005369162218,0.10366686205698449,-0.040075615048653396,0.026022300124002584,0.177570089698,0.2002736032009124,
davidScore,upset_naive,77,45,1,31,-0.01387999685746599,-0.03201113641271161,0.0007974829094634924,-0.0388934612270502,0.016273856163103312,0.177570089698,0.2053605169057846,
SVD_NRS,upset_naive,77,47,0,30,-0.027682159850729877,-0.030777841806395007,7.433874598330249e-06,-0.06068027019507738,0.0029596686367439062,0.177570089698,0.2227337062358856,
btl,upset_naive,77,76,0,1,-0.0786491586790388,-0.0847448557618653,4.729557384736219e-13,-0.09252336025263058,-0.0756899788978165,0.177570089698,0.2458676323294639,
PageRank,upset_naive,77,76,0,1,-0.06020780860796467,-0.06073871254871521,3.1295110584315e-13,-0.06787984073192069,-0.05627462267851488,0.177570089698,0.2666666805744171,
syncRank,upset_naive,77,77,0,0,-0.2276079296775384,-0.22969698607939432,2.4628307660238145e-14,-0.2598164975641535,-0.20363638103039203,0.177570089698,0.4291156530380249,
serialRank,upset_naive,77,77,0,0,-0.27006907862695095,-0.26297693252601495,2.4628307660238145e-14,-0.31866665184474496,-0.2447234839204347,0.177570089698,0.4912742972373962,
rankCentrality,upset_naive,77,77,0,0,-0.29639707375075225,-0.30242424905331067,2.4628307660238145e-14,-0.3223575949669325,-0.26228441297990646,0.177570089698,0.4905660450458526,
DIGRAC,upset_naive,60,55,0,5,-0.05965944800276673,-0.04703554004430356,8.839562988363797e-11,-0.09011712759720425,-0.01969110578298959,0.193348929286,0.25775691360235214,
ib,upset_naive,60,60,0,0,-0.45879682769377156,-0.4810011810064609,1.6295557943119345e-11,-0.5036560398337662,-0.44967946140824216,0.193348929286,0.663014132976532,
SpringRank,upset_ratio,77,42,0,35,-0.01057277634961549,-0.029778182507051998,0.24185767868293717,-0.09646731615086257,0.09545475244535206,0.503461658955,0.5766331553459167,
davidScore,upset_ratio,77,74,0,3,-0.19802101924051804,-0.08416122198080611,3.50364870658016e-13,-0.35368146002298534,-0.06353378295930123,0.503461658955,0.549148440361023,
SVD_NRS,upset_ratio,77,72,0,5,-0.17736058486750467,-0.0889056921006941,4.980757807380714e-14,-0.3337355852130821,-0.07253831624945095,0.503461658955,0.5271642804145813,
btl,upset_ratio,77,3,0,74,0.07841524964847643,0.08050605952692258,3.117345156133964e-14,0.05382659435244408,0.1056102444413021,0.503461658955,0.3358464330434799,
PageRank,upset_ratio,77,14,0,63,0.051133879043073864,0.02940320968633736,1.81918267064262e-08,0.020522892474926002,0.1071061985569985,0.503461658955,0.4393829703330993,
syncRank,upset_ratio,77,47,0,30,-0.1179753670481418,-0.2100390672685809,2.2637874350133064e-05,-0.2859889864919145,0.09277753718173731,0.503461658955,0.8020096242427825,
serialRank,upset_ratio,77,47,0,30,-0.11768973855813693,-0.1253498435020567,2.7717850859802465e-05,-0.287532460690027,0.09193479269719351,0.503461658955,0.7313398361206055,
rankCentrality,upset_ratio,77,77,0,0,-0.6022094734690803,-0.5930855512619135,2.4628307660238145e-14,-0.7237527370451023,-0.4630265384913081,0.503461658955,1.170249581336975,
DIGRAC,upset_ratio,60,30,0,30,-0.04136299926202046,-0.03938501361300758,0.0009239298185665981,-0.19127643555422053,0.11147998709578157,0.336927451193,0.37717767945025116,
ib,upset_ratio,60,30,0,30,-0.14485052740857549,-0.1493209366780665,0.0009239298185665981,-0.3237240952252705,0.03877085879908415,0.336927451193,0.4865375699847937,
