baseline,metric,n_common,ours_wins,ties,ours_loses,mean_delta,median_delta,wilcoxon_p,bootstrap_median_CI_lo,bootstrap_median_CI_hi,median_ours,median_baseline,holm_p,median_paired_ratio,ours_faster,ours_slower
SpringRank,upset_simple,77,77,0,0,-0.5287080505873802,-0.5743310451507568,2.4628307660238145e-14,-0.6467182453715623,-0.38227260958791226,0.21052631578947367,0.8010944128036499,2.462830766023814e-13,,,
davidScore,upset_simple,76,76,0,0,-0.5503508332956325,-0.5700135918542915,3.6060528034893936e-14,-0.6638296345774832,-0.42476148100142763,0.19559162504802152,0.8158586621284485,2.884842242791515e-13,,,
SVD_NRS,upset_simple,77,77,0,0,-0.6083799354863957,-0.5490751797043065,2.4628307660238145e-14,-0.7463561724271535,-0.4747594082703162,0.21052631578947367,0.8909348249435425,2.462830766023814e-13,,,
btl,upset_simple,76,76,0,0,-0.8138643568319256,-0.8563086913605829,3.6060528034893936e-14,-0.8837685616272248,-0.8390696343028368,0.19559162504802152,0.9811132580041886,2.884842242791515e-13,,,
PageRank,upset_simple,76,76,0,0,-0.7359504995805198,-0.7408946430032102,3.6060528034893936e-14,-0.7597216941501487,-0.7140703127022174,0.19559162504802152,1.057723581790924,2.884842242791515e-13,,,
syncRank,upset_simple,76,76,0,0,-1.4080937984386104,-1.3809727575486352,3.6060528034893936e-14,-1.5185748164904478,-1.305168747704926,0.19559162504802152,1.715796947479248,2.884842242791515e-13,,,
serialRank,upset_simple,76,76,0,0,-1.5634371223846095,-1.5542194095719024,3.6060528034893936e-14,-1.779633358243358,-1.5019304907872413,0.19559162504802152,1.9577505230903625,2.884842242791515e-13,,,
rankCentrality,upset_simple,76,76,0,0,-1.6638983061082602,-1.6169024651704627,3.6060528034893936e-14,-1.7952445883290986,-1.5254781716437018,0.19559162504802152,1.9440121054649353,2.884842242791515e-13,,,
DIGRAC,upset_simple,76,76,0,0,-0.8099096370092679,-0.8206814639308952,3.6060528034893936e-14,-0.8650640300532361,-0.6626305434219456,0.19559162504802152,1.0779184785485267,2.884842242791515e-13,,,
ib,upset_simple,76,76,0,0,-0.8915139925437083,-0.8644083280613986,3.6060528034893936e-14,-1.0210112453601345,-0.7747363383972667,0.19559162504802152,1.175751796364784,2.884842242791515e-13,,,
SpringRank,upset_naive,77,0,0,77,118721.79453244408,5987.810900077224,2.4628307660238145e-14,5554.793761461973,245214.51090146304,5988.0,0.2002736032009124,,,,
davidScore,upset_naive,76,0,0,76,120149.82889424941,5967.304682351649,3.6060528034893936e-14,5406.3836738057435,126877.9724508345,5967.5,0.20396466553211212,,,,
SVD_NRS,upset_naive,77,0,0,77,118721.77461447286,5987.786677673459,2.4628307660238145e-14,5554.763302758336,245214.48364780546,5988.0,0.2227337062358856,,,,
btl,upset_naive,76,0,0,76,120149.763152236,5967.274362042546,3.6060528034893936e-14,5406.347983751874,126877.8874240431,5967.5,0.2452783145010471,,,,
PageRank,upset_naive,76,0,0,76,120149.78263070033,5967.28204087913,3.6060528034893936e-14,5406.360831318423,126877.91801642996,5967.5,0.264430895447731,,,,
