baseline,metric,scope,family,n,wins,ties,losses,mean_delta,median_delta,ci_lo,ci_hi,ci_excludes_zero
SpringRank,upset_simple,per_dataset_all,ALL,77,41,0,36,0.08678907097934128,-0.07843136787414562,0.03236866704635805,0.1433362823898916,True
SpringRank,upset_simple,per_family,Animal,1,1,0,0,-0.12578618526458746,-0.12578618526458746,-0.12578618526458746,-0.12578618526458746,True
SpringRank,upset_simple,per_family,Basketball_coarse,30,30,0,0,-0.1356000244617462,-0.1320744752883911,-0.14129123349984488,-0.13061753312746685,True
SpringRank,upset_simple,per_family,Basketball_finer,30,0,0,30,0.38307632406552633,0.38844308257102966,0.3710560642182827,0.39531552468736963,True
SpringRank,upset_simple,per_family,Faculty,3,3,0,0,-0.07647996644179024,-0.0863787233829498,-0.09381662309169769,-0.04924455285072321,True
SpringRank,upset_simple,per_family,Football_coarse,6,4,0,2,-0.08136661847432457,-0.08770054578781133,-0.15761915842692056,-0.00401577353477478,True
SpringRank,upset_simple,per_family,Football_finer,6,2,0,4,0.03749536474545793,0.060606092214584295,-0.05861726403236389,0.1251924137274424,False
SpringRank,upset_simple,per_family,Halo,1,1,0,0,-0.1230769157409668,-0.1230769157409668,-0.1230769157409668,-0.1230769157409668,True
SpringRank,upset_naive,per_dataset_all,ALL,77,41,0,36,0.02169726774483532,-0.019607841968536294,0.008092166761589517,0.0358340705974729,True
SpringRank,upset_naive,per_family,Animal,1,1,0,0,-0.031446546316146906,-0.031446546316146906,-0.031446546316146906,-0.031446546316146906,True
SpringRank,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.033900006115436566,-0.03301861882209779,-0.03532280837496122,-0.032654383281866727,True
SpringRank,upset_naive,per_family,Basketball_finer,30,0,0,30,0.09576908101638158,0.09711077064275747,0.0927640160545707,0.09882888117184241,True
SpringRank,upset_naive,per_family,Faculty,3,3,0,0,-0.019119991610447567,-0.0215946808457375,-0.023454155772924395,-0.012311138212680803,True
SpringRank,upset_naive,per_family,Football_coarse,6,4,0,2,-0.020341654618581135,-0.021925136446952806,-0.03940478960673014,-0.0010039433836937367,True
SpringRank,upset_naive,per_family,Football_finer,6,2,0,4,0.009373841186364492,0.015151523053646046,-0.014654316008090973,0.03129810343186063,False
SpringRank,upset_naive,per_family,Halo,1,1,0,0,-0.0307692289352417,-0.0307692289352417,-0.0307692289352417,-0.0307692289352417,True
SpringRank,upset_ratio,per_dataset_all,ALL,77,44,0,33,-0.004945723128251053,-0.017549663782119806,-0.029761532629392556,0.02173262264159229,False
SpringRank,upset_ratio,per_family,Animal,1,1,0,0,-0.017549663782119806,-0.017549663782119806,-0.017549663782119806,-0.017549663782119806,True
SpringRank,upset_ratio,per_family,Basketball_coarse,30,30,0,0,-0.10960189501444499,-0.11154398322105408,-0.11969503208994865,-0.09732820679744085,True
SpringRank,upset_ratio,per_family,Basketball_finer,30,0,0,30,0.13099207615790268,0.13256172300316393,0.1284341277050165,0.1332762444182299,True
SpringRank,upset_ratio,per_family,Faculty,3,3,0,0,-0.11590711275736491,-0.1016925573348999,-0.1650823950767517,-0.08094638586044312,True
SpringRank,upset_ratio,per_family,Football_coarse,6,5,0,1,-0.08646224439144135,-0.09938815236091614,-0.12519954144954684,-0.03538032869497936,True
SpringRank,upset_ratio,per_family,Football_finer,6,4,0,2,-0.005680873990058881,-0.0032387524843215942,-0.02279631868004795,0.007304820480446016,False
SpringRank,upset_ratio,per_family,Halo,1,1,0,0,-0.10439640283584595,-0.10439640283584595,-0.10439640283584595,-0.10439640283584595,True
davidScore,upset_simple,per_dataset_all,ALL,77,40,1,36,0.06279853624956948,-0.02424246072769165,0.01041382525551629,0.117874350780984,True
davidScore,upset_simple,per_family,Animal,1,0,0,1,0.05031445622444147,0.05031445622444147,0.05031445622444147,0.05031445622444147,True
davidScore,upset_simple,per_family,Basketball_coarse,30,30,0,0,-0.13663757244745892,-0.13113993406295776,-0.14633563657601673,-0.12716996823747953,True
davidScore,upset_simple,per_family,Basketball_finer,30,0,0,30,0.3391952196756999,0.3355719745159149,0.3262779984374841,0.35259660333395004,True
davidScore,upset_simple,per_family,Faculty,3,3,0,0,-0.28202419976393384,-0.344684362411499,-0.3710021227598191,-0.1303861141204834,True
davidScore,upset_simple,per_family,Football_coarse,6,5,1,0,-0.11270528038342793,-0.0915604829788208,-0.2060874658326308,-0.0364866994321349,True
davidScore,upset_simple,per_family,Football_finer,6,1,0,5,0.08510355154673259,0.10960829257965093,-0.027214656273523968,0.17460385809342066,False
davidScore,upset_simple,per_family,Halo,1,1,0,0,-0.2798736095428467,-0.2798736095428467,-0.2798736095428467,-0.2798736095428467,True
davidScore,upset_naive,per_dataset_all,ALL,77,40,1,36,0.015565037582214777,-0.006060615181922913,0.002513957027249132,0.029390611094362154,True
davidScore,upset_naive,per_family,Animal,1,0,0,1,0.012578614056110396,0.012578614056110396,0.012578614056110396,0.012578614056110396,True
davidScore,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.03415939311186474,-0.032784983515739455,-0.0365839091440042,-0.03179249205936989,True
davidScore,upset_naive,per_family,Basketball_finer,30,0,0,30,0.08479880491892497,0.08389299362897873,0.08156949960937106,0.08814915083348751,True
davidScore,upset_naive,per_family,Faculty,3,3,0,0,-0.07162424052755037,-0.08803986012935641,-0.0938166342675686,-0.033016227185726096,True
