dataset,family,status,n,m,upset_simple,upset_naive,upset_ratio,runtime_sec,error
Basketball_temporal/1985,Basketball_coarse,complete,282,2904,0.8711708188056946,0.21779270470142365,0.47251594066619873,0.6207237243652344,
Basketball_temporal/1986,Basketball_coarse,complete,283,2937,0.8885191082954407,0.22212977707386017,0.46015074849128723,0.8619475364685059,
Basketball_temporal/1987,Basketball_coarse,complete,290,3045,0.9280890226364136,0.2320222556591034,0.4958643615245819,0.6815752983093262,
Basketball_temporal/1988,Basketball_coarse,complete,290,3099,0.8376470804214478,0.20941177010536194,0.4646332263946533,0.5233545303344727,
Basketball_temporal/1989,Basketball_coarse,complete,293,3162,0.8496781587600708,0.2124195396900177,0.46857398748397827,0.23924636840820312,
Basketball_temporal/1990,Basketball_coarse,complete,292,3192,0.8741020560264587,0.21852551400661469,0.4652625620365143,0.0990288257598877,
Basketball_temporal/1991,Basketball_coarse,complete,295,3218,0.9933085441589355,0.9933085441589355,0.8604897260665894,0.12785696983337402,
Basketball_temporal/1992,Basketball_coarse,complete,298,3238,0.8337652683258057,0.20844131708145142,0.4508848786354065,0.07884001731872559,
Basketball_temporal/1993,Basketball_coarse,complete,298,3088,0.8660923838615417,0.21652309596538544,0.46948719024658203,0.07897686958312988,
Basketball_temporal/1994,Basketball_coarse,complete,301,3144,0.8608762621879578,0.21521906554698944,0.44600316882133484,0.08590555191040039,
Basketball_temporal/1995,Basketball_coarse,complete,302,3182,0.8858654499053955,0.22146636247634888,0.46931836009025574,0.16948866844177246,
Basketball_temporal/1996,Basketball_coarse,complete,305,3256,0.9262385368347168,0.2315596342086792,0.4969221353530884,0.34288740158081055,
Basketball_temporal/1997,Basketball_coarse,complete,305,3333,0.9385714530944824,0.2346428632736206,0.49173980951309204,0.14955925941467285,
Basketball_temporal/1998,Basketball_coarse,complete,306,3321,0.899433434009552,0.224858358502388,0.4915193021297455,0.7642569541931152,
Basketball_temporal/1999,Basketball_coarse,complete,310,3385,0.9157968163490295,0.22894920408725739,0.49679088592529297,0.6314280033111572,
Basketball_temporal/2000,Basketball_coarse,complete,318,3475,0.9101086854934692,0.2275271713733673,0.518941342830658,0.7871382236480713,
Basketball_temporal/2001,Basketball_coarse,complete,318,3405,0.8578247427940369,0.21445618569850922,0.4870036244392395,0.14104199409484863,
Basketball_temporal/2002,Basketball_coarse,complete,321,3505,0.9013333320617676,0.2253333330154419,0.5029059052467346,0.8950071334838867,
Basketball_temporal/2003,Basketball_coarse,complete,327,3560,0.9054142236709595,0.22635355591773987,0.5169199705123901,0.2011706829071045,
Basketball_temporal/2004,Basketball_coarse,complete,326,3527,0.8324538469314575,0.20811346173286438,0.4768500328063965,0.3179802894592285,
Basketball_temporal/2005,Basketball_coarse,complete,330,3622,0.9046251773834229,0.2261562943458557,0.5080308318138123,0.9060783386230469,
Basketball_temporal/2006,Basketball_coarse,complete,334,3695,0.8998132944107056,0.2249533236026764,0.5082051157951355,0.2182624340057373,
Basketball_temporal/2007,Basketball_coarse,complete,336,3974,0.9104563593864441,0.22761408984661102,0.5115879774093628,0.8354671001434326,
Basketball_temporal/2008,Basketball_coarse,complete,342,4051,0.9364096522331238,0.23410241305828094,0.5236302018165588,0.28054380416870117,
Basketball_temporal/2009,Basketball_coarse,complete,347,4155,0.8887656331062317,0.22219140827655792,0.5057045221328735,0.22564220428466797,
Basketball_temporal/2010,Basketball_coarse,complete,347,4133,0.8786633610725403,0.21966584026813507,0.5141290426254272,0.1650092601776123,
Basketball_temporal/2011,Basketball_coarse,complete,345,4086,0.9034405946731567,0.22586014866828918,0.5126327276229858,0.9612123966217041,
Basketball_temporal/2012,Basketball_coarse,complete,345,4126,0.8400770425796509,0.21001926064491272,0.4941120743751526,0.5900964736938477,
Basketball_temporal/2013,Basketball_coarse,complete,347,4153,0.9050615429878235,0.22626538574695587,0.5208020210266113,0.32622671127319336,
Basketball_temporal/2014,Basketball_coarse,complete,351,4196,0.9942857027053833,0.9942857027053833,0.893155038356781,1.1052987575531006,
Basketball_temporal/finer1985,Basketball_finer,complete,282,4814,0.7698113322257996,0.1924528330564499,0.0032107559964060783,0.17773890495300293,
Basketball_temporal/finer1986,Basketball_finer,complete,283,4862,0.7823553681373596,0.1955888420343399,0.0034685463178902864,0.8177018165588379,
Basketball_temporal/finer1987,Basketball_finer,complete,290,5088,0.8298294544219971,0.20745736360549927,0.0034659509547054768,0.6246886253356934,
Basketball_temporal/finer1988,Basketball_finer,complete,290,5170,0.7862176895141602,0.19655442237854004,0.003909609280526638,0.3043835163116455,
Basketball_temporal/finer1989,Basketball_finer,complete,293,5318,0.7821482419967651,0.19553706049919128,0.0035213378723710775,0.4768400192260742,
Basketball_temporal/finer1990,Basketball_finer,complete,292,5350,0.7942619919776917,0.1985654979944229,0.0036054058000445366,0.5102591514587402,
Basketball_temporal/finer1991,Basketball_finer,complete,295,5420,0.8223048448562622,0.20557621121406555,0.003827581414952874,0.4349076747894287,
Basketball_temporal/finer1992,Basketball_finer,complete,298,5444,0.7280799150466919,0.18201997876167297,0.003988114185631275,0.5839972496032715,
Basketball_temporal/finer1993,Basketball_finer,complete,298,5160,0.769351065158844,0.192337766289711,0.0037402876187115908,0.47397780418395996,
Basketball_temporal/finer1994,Basketball_finer,complete,301,5252,0.7606607675552368,0.1901651918888092,0.0038062804378569126,0.6179416179656982,
Basketball_temporal/finer1995,Basketball_finer,complete,302,5336,0.782181978225708,0.195545494556427,0.003950699232518673,0.7650277614593506,
