dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification
Basketball_temporal/1985,Basketball_coarse,A0,712779aad638f619,1787630193.298617,complete,282,2904,0.03664723252820474,40493.0,1074,7341.0,1074,7341.0,0.1812905934359025,0,0,0,0.0,0.11898352801718816,0.4571296595970426,4818.0,0.0,0.10869979858398438,0.08330774307250977,2.6226043701171875e-06,0.0009860992431640625,0.0,758,[0],phase_b_disabled,
Basketball_temporal/1988,Basketball_coarse,A0,712779aad638f619,1787630193.4075475,complete,290,3099,0.03697649445173607,47701.0,1155,9054.0,1155,9054.0,0.18980734156516635,0,0,0,0.0,0.12259701054485231,0.4930276935153653,5848.0,0.0,0.11072015762329102,0.08497905731201172,2.1457672119140625e-06,0.0010194778442382812,0.0,821,[0],phase_b_disabled,
Basketball_temporal/1991,Basketball_coarse,A0,712779aad638f619,1787630193.5184946,complete,295,3218,0.03710365502133057,52133.0,1160,9303.0,1160,9303.0,0.17844743252834097,0,0,0,0.0,0.11844704889417451,0.46378504429214873,6175.0,0.0,0.16016507148742676,0.13409042358398438,1.9073486328125e-06,0.0010662078857421875,0.0,875,[0],phase_b_disabled,
Basketball_temporal/1994,Basketball_coarse,A0,712779aad638f619,1787630193.6789274,complete,301,3144,0.03481727574750831,51068.0,1099,9381.0,1099,9381.0,0.18369624813973526,0,0,0,0.0,0.12160256912352158,0.46764444582893633,6210.0,0.0,0.1286015510559082,0.10185527801513672,1.6689300537109375e-06,0.0010986328125,0.0,849,[0],phase_b_disabled,
Basketball_temporal/1997,Basketball_coarse,A0,712779aad638f619,1787630193.807785,complete,305,3333,0.035946937014667814,52037.0,1232,10760.0,1232,10760.0,0.20677594788323692,0,0,0,0.0,0.13594173376635854,0.48875371794603417,7074.0,0.0,0.1657121181488037,0.1387956142425537,1.6689300537109375e-06,0.001111745834350586,0.0,948,[0],phase_b_disabled,
Basketball_temporal/2000,Basketball_coarse,A0,712779aad638f619,1787630193.973763,complete,318,3475,0.03447215443525187,55092.0,1189,10117.0,1189,10117.0,0.18363827778987873,0,0,0,0.0,0.11705873811079649,0.508771370693921,6449.0,0.0,0.15813088417053223,0.13036155700683594,1.9073486328125e-06,0.0011837482452392578,0.0,888,[0],phase_b_disabled,
Basketball_temporal/2003,Basketball_coarse,A0,712779aad638f619,1787630194.1321752,complete,327,3560,0.03339524586780736,54489.0,1297,11034.0,1297,11034.0,0.20249958707262017,0,0,0,0.0,0.12958578795720238,0.5108512596475314,7061.0,0.0,0.14913249015808105,0.12074971199035645,2.1457672119140625e-06,0.0011959075927734375,0.0,919,[0],phase_b_disabled,
Basketball_temporal/2006,Basketball_coarse,A0,712779aad638f619,1787630194.2815902,complete,334,3695,0.03322184459909011,55402.0,1312,11703.0,1312,11703.0,0.21123786144904516,0,0,0,0.0,0.13526587487816324,0.511888407476773,7494.0,0.0,0.17493844032287598,0.1459054946899414,2.1457672119140625e-06,0.0012540817260742188,0.0,942,[0],phase_b_disabled,
Basketball_temporal/2009,Basketball_coarse,A0,712779aad638f619,1787630194.456814,complete,347,4155,0.034607119654844996,61946.0,1424,11917.0,1424,11917.0,0.19237723178252025,0,0,0,0.0,0.1246892454718626,0.48885300364503964,7724.0,0.0,0.22005796432495117,0.1870739459991455,1.9073486328125e-06,0.0014102458953857422,0.0,1039,[0],phase_b_disabled,
Basketball_temporal/2012,Basketball_coarse,A0,712779aad638f619,1787630194.6771646,complete,345,4126,0.034765756656555444,61534.0,1389,11583.0,1389,11583.0,0.1882373972112978,0,0,0,0.0,0.11998244872753275,0.47870303606381914,7383.0,0.0,0.18720602989196777,0.15453100204467773,2.1457672119140625e-06,0.0014312267303466797,0.0,969,[0],phase_b_disabled,
