dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification
Basketball_temporal/1985,Basketball_coarse,R0_A4,712779aad638f619,1787631051.6450582,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.46287807766192984,4031.0,0.09373816915272204,0.22820401191711426,0.08166027069091797,0.039957523345947266,0.0011112689971923828,0.0,758,[384],exhausted,
Basketball_temporal/1985,Basketball_coarse,R1_A4,712779aad638f619,1787631063.673755,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.45446519068620217,4031.0,0.09373816915272204,0.2919449806213379,0.08367681503295898,0.04006767272949219,0.06282329559326172,0.0,758,[384],exhausted,
Basketball_temporal/1985,Basketball_coarse,R2_A4,712779aad638f619,1787631077.6458066,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.4537179485826296,4031.0,0.09373816915272204,0.323894739151001,0.08223271369934082,0.040033578872680664,0.09594225883483887,0.0,758,[384],exhausted,
Basketball_temporal/1985,Basketball_coarse,R3_A4,712779aad638f619,1787631092.8097615,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.45289884864555335,4031.0,0.09373816915272204,0.3833048343658447,0.08180880546569824,0.03978610038757324,0.15618515014648438,0.0,758,[384],exhausted,
Basketball_temporal/1988,Basketball_coarse,R0_A4,712779aad638f619,1787631051.879362,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.47731721189228,4857.0,0.12735950363918386,0.2421400547027588,0.0828697681427002,0.05033469200134277,0.0011906623840332031,0.0,821,[425],exhausted,
Basketball_temporal/1988,Basketball_coarse,R1_A4,712779aad638f619,1787631063.9720736,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46882101861219627,4857.0,0.12735950363918386,0.3055286407470703,0.08241724967956543,0.05026698112487793,0.06498241424560547,0.0,821,[425],exhausted,
Basketball_temporal/1988,Basketball_coarse,R2_A4,712779aad638f619,1787631077.984432,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46823382169098277,4857.0,0.12735950363918386,0.33900022506713867,0.08251357078552246,0.050266265869140625,0.09847545623779297,0.0,821,[425],exhausted,
Basketball_temporal/1988,Basketball_coarse,R3_A4,712779aad638f619,1787631093.1999004,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46758316045072756,4857.0,0.12735950363918386,0.39861392974853516,0.08268356323242188,0.050406455993652344,0.1576380729675293,0.0,821,[425],exhausted,
Basketball_temporal/1991,Basketball_coarse,R0_A4,712779aad638f619,1787631052.1274574,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.10181650777818273,0.4577467651395487,5308.0,0.09678312002767209,0.33777928352355957,0.13216304779052734,0.047299861907958984,0.001238107681274414,0.0,875,[411],exhausted,
Basketball_temporal/1991,Basketball_coarse,R1_A4,712779aad638f619,1787631064.2839656,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.1017589626532139,0.45134975800282023,5305.0,0.09680618009915831,0.4020233154296875,0.13150787353515625,0.047090768814086914,0.06615519523620605,0.0,875,[411],exhausted,
